root,subcategories,entries,link
ء ث م,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AB_%D9%85
ء ج ر,0,9,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AC_%D8%B1
ء ح د,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AD_%D8%AF
ء خ ذ,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AE_%D8%B0
ء خ ر,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AE_%D8%B1
ء خ و,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AE_%D9%88
ء د ب,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AF_%D8%A8
ء د م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AF_%D9%85
ء د و,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AF_%D9%88
ء د ي,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%AF_%D9%8A
ء ذ ن,0,10,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B0_%D9%86
ء ذ ي,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B0_%D9%8A
ء ر ض,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B1_%D8%B6
ء ر ط,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B1_%D8%B7
ء ر ق,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B1_%D9%82
ء ر م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B1_%D9%85
ء ز ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B2_%D9%82
ء ز ل,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B2_%D9%84
ء ز م,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B2_%D9%85
ء ز ي,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B2_%D9%8A
ء س ر,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B3_%D8%B1
ء س س,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B3_%D8%B3
ء س ف,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B3_%D9%81
ء س ل,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B3_%D9%84
ء س و,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B3_%D9%88
ء س ي,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B3_%D9%8A
ء ش ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B4_%D8%B1
ء ص ل,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B5_%D9%84
ء ط ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D8%B7_%D8%B1
ء ف ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%81_%D9%82
ء ف ك,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%81_%D9%83
ء ف ل,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%81_%D9%84
ء ق ط,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%82_%D8%B7
ء ك د,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%83_%D8%AF
ء ك ل,0,13,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%83_%D9%84
ء ك م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%83_%D9%85
ء ل ف,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%84_%D9%81
ء ل ق,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%84_%D9%82
ء ل ل,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%84_%D9%84
ء ل م,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%84_%D9%85
ء ل ه,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%84_%D9%87
ء ل و,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%84_%D9%88
ء ل ي,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%84_%D9%8A
ء م ر,0,21,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%85_%D8%B1
ء م ل,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%85_%D9%84
ء م م,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%85_%D9%85
ء م ن,0,13,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%85_%D9%86
ء ن ث,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%86_%D8%AB
ء ن س,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%86_%D8%B3
ء ن ف,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%86_%D9%81
ء ن ق,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%86_%D9%82
ء ن ن,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%86_%D9%86
ء ن ي,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%86_%D9%8A
ء ه ل,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%87_%D9%84
ء و ب,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%88_%D8%A8
ء و د,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%88_%D8%AF
ء و ف,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%88_%D9%81
ء و ل,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%88_%D9%84
ء و م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%88_%D9%85
ء و ه,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%88_%D9%87
ء و ي,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%88_%D9%8A
ء ي ء,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%8A_%D8%A1
ء ي د,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%8A_%D8%AF
ء ي س,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%8A_%D8%B3
ء ي ض,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%8A_%D8%B6
ء ي ن,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A1_%D9%8A_%D9%86
ب ء س,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%A1_%D8%B3
ب ت ت,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AA_%D8%AA
ب ت ر,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AA_%D8%B1
ب ت ل,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AA_%D9%84
ب ث ث,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AB_%D8%AB
ب ث ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AB_%D9%82
ب ج ج,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AC_%D8%AC
ب ج ح,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AC_%D8%AD
ب ج ل,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AC_%D9%84
ب ح ث,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AD_%D8%AB
ب ح ح,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AD_%D8%AD
ب ح ر,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AD_%D8%B1
ب خ ر,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AE_%D8%B1
ب خ ص,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AE_%D8%B5
ب خ ع,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AE_%D8%B9
ب خ ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AE_%D9%82
ب خ ل,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AE_%D9%84
ب د ء,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AF_%D8%A1
ب د د,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AF_%D8%AF
ب د ر,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AF_%D8%B1
ب د ع,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AF_%D8%B9
ب د ل,0,13,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AF_%D9%84
ب د ن,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AF_%D9%86
ب د ه,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AF_%D9%87
ب د و,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%AF_%D9%88
ب ذ ء,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B0_%D8%A1
ب ذ ذ,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B0_%D8%B0
ب ذ ر,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B0_%D8%B1
ب ذ ل,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B0_%D9%84
ب ر ء,0,9,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D8%A1
ب ر ج,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D8%AC
ب ر ح,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D8%AD
ب ر د,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D8%AF
ب ر ر,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D8%B1
ب ر ز,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D8%B2
ب ر ع,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D8%B9
ب ر ق,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D9%82
ب ر ك,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D9%83
ب ر م,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D9%85
ب ر ه,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D9%87
ب ر ي,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B1_%D9%8A
ب ز غ,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B2_%D8%BA
ب ز ق,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B2_%D9%82
ب ز م,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B2_%D9%85
ب س ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B3_%D8%B1
ب س س,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B3_%D8%B3
ب س ط,0,9,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B3_%D8%B7
ب س ل,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B3_%D9%84
ب س م,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B3_%D9%85
ب ش ر,0,11,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B4_%D8%B1
ب ش ش,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B4_%D8%B4
ب ش ع,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B4_%D8%B9
ب ش م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B4_%D9%85
ب ص ر,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B5_%D8%B1
ب ص ص,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B5_%D8%B5
ب ص ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B5_%D9%82
ب ص م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B5_%D9%85
ب ض ع,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B6_%D8%B9
ب ط ء,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B7_%D8%A1
ب ط ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B7_%D8%B1
ب ط ل,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B7_%D9%84
ب ط ن,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B7_%D9%86
ب ع ث,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B9_%D8%AB
ب ع د,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B9_%D8%AF
ب ع ض,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%B9_%D8%B6
ب غ ت,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%BA_%D8%AA
ب غ ض,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%BA_%D8%B6
ب غ ي,0,7,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D8%BA_%D9%8A
ب ق ر,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%82_%D8%B1
ب ق ع,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%82_%D8%B9
ب ق ق,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%82_%D9%82
ب ق ل,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%82_%D9%84
ب ق ي,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%82_%D9%8A
ب ك ر,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%83_%D8%B1
ب ك ل,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%83_%D9%84
ب ك م,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%83_%D9%85
ب ك ي,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%83_%D9%8A
ب ل ج,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D8%AC
ب ل ح,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D8%AD
ب ل د,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D8%AF
ب ل س,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D8%B3
ب ل ش,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D8%B4
ب ل ط,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D8%B7
ب ل ع,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D8%B9
ب ل غ,0,13,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D8%BA
ب ل ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D9%82
ب ل ل,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D9%84
ب ل ه,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D9%87
ب ل و,0,8,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%84_%D9%88
ب ن و,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%86_%D9%88
ب ن ي,0,11,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%86_%D9%8A
ب ه ء,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%87_%D8%A1
ب ه ت,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%87_%D8%AA
ب ه ج,0,5,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%87_%D8%AC
ب ه ر,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%87_%D8%B1
ب ه ظ,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%87_%D8%B8
ب ه ل,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%87_%D9%84
ب ه م,0,6,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%87_%D9%85
ب ه و,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%87_%D9%88
ب ه ي,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%87_%D9%8A
ب و ء,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%88_%D8%A1
ب و ح,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%88_%D8%AD
ب و ر,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%88_%D8%B1
ب و س,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%88_%D8%B3
ب و ص,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%88_%D8%B5
ب و ق,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%88_%D9%82
ب و ل,0,3,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%88_%D9%84
ب و ن,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%88_%D9%86
ب ي ت,0,2,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%8A_%D8%AA
ب ي د,0,4,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%8A_%D8%AF
ب ي ض,0,9,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%8A_%D8%B6
ب ي ع,0,10,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%8A_%D8%B9
ب ي ن,0,10,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%A8_%D9%8A_%D9%86
ت ب ب,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AA_%D8%A8_%D8%A8
ت ب ر,0,1,https://en.m.wiktionary.org/wiki/Category:Arabic_terms_belonging_to_the_root_%D8%AA_%D8%A8_%D8%B1
